COUNTRY,ISO,ID,Modified_DFSCORE,Modified_DFSCORETWO,TroopNumbers,TroopNumbers_Source,TroopNumbers_Source_Date,TroopNumbers_Last_Input,CasualtiesUS,CasualtiesUS_Source,CasualtiesUS_Source_Date,CasualtiesUS_Last_Input
AFGHANISTAN,AFG,4,4.5,4,16500,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,2262,"OFS (46): ""U.S. Military Casualties - Operation Freedom's Sentinel (OFS) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_ofs_namesalp.xhtml; OEF (2216): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OFS (46): 7 Mar 2018; OEF (2216): 7 Mar 2018,OFS (46): 7 Mar 2018; OEF (2216): 7 Mar 2018
BAHRAIN,BHR,48,3,5,9826,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,23,"OIR (3): ""U.S. Military Casualties - Operation Inherent Resolve (OIR) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml; OEF (6): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml; OND (2): ""U.S. Military Casualties - Operation New Dawn (OND) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_ond_namesalp.xhtml; OIF (12): ""U.S. Military Casualties - Operation Iraqi Freedom (OIF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oif_namesalp.xhtml",OIR (3): 6 Mar 2018; OEF (6): 7 Mar 2018; OND (2): 7 Mar 2018; OIF (12): 7 Mar 2018,OIR (3): 7 Mar 2018; OEF (6): 7 Mar 2018; OND (2): 7 Mar 2018; OIF (12): 7 Mar 2018
CUBA,CUB,192,2.5,3,1154,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,6,"OEF (6): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OEF (6): 7 Mar 2018,OEF (6): 7 Mar 2018
CYPRUS,CYP,196,1.5,2,15,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,1,"OEF (1): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OEF (1): 7 Mar 2018,OEF (1): 7 Mar 2018
DJIBOUTI,DJI,262,3,3,4715,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,22,"OEF (22): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OEF (22): 7 Mar 2018,OEF (22): 7 Mar 2018
ETHIOPIA,ETH,231,1.5,4,18,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,2,"OEF (2): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OEF (2): 7 Mar 2018,OEF (2): 7 Mar 2018
GERMANY,DEU,276,3,2,47055,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,5,"OEF (1): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml; OIF (4): ""U.S. Military Casualties - Operation Iraqi Freedom (OIF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oif_namesalp.xhtml",OEF (1): 7 Mar 2018; OIF (4): 7 Mar 2018,OEF (1): 7 Mar 2018; OIF (4): 7 Mar 2018
INDONESIA,IDN,360,1.5,1,23,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,1,"OEF (1): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OEF (1): 7 Mar 2018,OEF (1): 7 Mar 2018
IRAQ,IRQ,368,4,3,9123,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,4375,"OIR (17): ""U.S. Military Casualties - Operation Inherent Resolve (OIR) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml; OND (62): ""U.S. Military Casualties - Operation New Dawn (OND) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_ond_namesalp.xhtml; OIF (4296): ""U.S. Military Casualties - Operation Iraqi Freedom (OIF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oif_namesalp.xhtml",OIR (17): 6 Mar 2018; OND (62): 7 Mar 2018; OIF (4296): 7 Mar 2018,OIR (17): 7 Mar 2018; OND (62): 7 Mar 2018; OIF (4296): 7 Mar 2018
JORDAN,JOR,400,2.5,4,2730,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,7,"OIR (7): ""U.S. Military Casualties - Operation Inherent Resolve (OIR) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml",OIR (7): 6 Mar 2018,OIR (7): 7 Mar 2018
KENYA,KEN,404,2,5,212,"""Military and Civilian Personnel by Service/Agency by State/Country (Updated Quarterly)"", https://www.dmdc.osd.mil/appj/dwp/dwp_reports.jsp",Sep 2017,7 Mar 2018,4,"OEF (4): ""U.S. Military Casualties - Operation Enduring Freedom (OEF) Names of Fallen"", https://dcas.dmdc.osd.mil/dcas/pages/report_oef_namesalp.xhtml",OEF (4): 7 Mar 2018,OEF (4): 7 Mar 2018
